                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.91238,                0.63763,                 1.1749,                0.85927,                0.76757,                0.85188,                 0.5663,                 1.2251,                0.80231,                 1.3133,               0.000724,               0.000724,               0.000724
                     60,                0.90107,                0.62898,                 1.1802,                  0.857,                0.75319,                0.84654,                0.56708,                 1.2093,                0.78745,                 1.3151,               0.000702,               0.000702,               0.000702
                     61,                0.93851,                0.63791,                 1.1917,                0.86568,                0.77973,                0.86271,                0.57347,                 1.2319,                0.79881,                 1.3286,                0.00068,                0.00068,                0.00068
                     62,                0.89458,                0.62919,                 1.1834,                0.90087,                0.75946,                0.86402,                 0.5734,                 1.2009,                0.75575,                 1.3076,               0.000658,               0.000658,               0.000658
                     63,                0.92004,                0.62098,                 1.1749,                0.86831,                0.76628,                0.86448,                0.58066,                 1.1945,                0.75099,                 1.3027,               0.000636,               0.000636,               0.000636
                     64,                0.88389,                0.63509,                 1.1727,                0.87883,                 0.7547,                0.86061,                0.57643,                 1.2005,                 0.7666,                 1.2983,               0.000614,               0.000614,               0.000614
                     65,                0.90357,                 0.6259,                 1.1691,                0.86938,                0.76351,                0.85699,                0.56844,                 1.2344,                0.75543,                 1.3121,               0.000592,               0.000592,               0.000592
                     66,                0.89199,                0.60668,                 1.1651,                0.87028,                0.77064,                 0.8634,                0.58421,                 1.1871,                0.74958,                 1.2718,                0.00057,                0.00057,                0.00057
                     67,                0.87056,                0.60888,                 1.1526,                0.89192,                0.73601,                0.85217,                0.57735,                 1.1939,                0.77533,                 1.2724,               0.000548,               0.000548,               0.000548
                     68,                0.88819,                  0.602,                 1.1655,                0.86524,                0.76892,                0.85489,                 0.5674,                 1.2196,                0.77677,                 1.3071,               0.000526,               0.000526,               0.000526
                     69,                0.87573,                0.62595,                 1.1711,                 0.8613,                0.76362,                0.86069,                0.58103,                  1.197,                0.74527,                 1.2931,               0.000504,               0.000504,               0.000504
                     70,                0.88441,                0.60181,                 1.1575,                0.86113,                0.77931,                0.86133,                0.58099,                 1.1937,                0.76453,                 1.2876,               0.000482,               0.000482,               0.000482
                     71,                0.87253,                0.60448,                 1.1565,                0.86078,                0.77706,                0.85649,                0.57868,                 1.1997,                0.76886,                 1.3001,                0.00046,                0.00046,                0.00046
                     72,                0.85751,                 0.5814,                 1.1411,                0.87567,                0.77094,                0.85977,                0.58491,                 1.1921,                0.76138,                 1.2835,               0.000438,               0.000438,               0.000438
                     73,                 0.8842,                0.58746,                 1.1501,                0.88213,                0.75853,                0.86239,                0.58809,                 1.1734,                0.76836,                 1.2764,               0.000416,               0.000416,               0.000416
                     74,                0.82038,                0.57514,                 1.1428,                0.86128,                0.76353,                0.85516,                0.58376,                 1.1833,                 0.7653,                 1.2822,               0.000394,               0.000394,               0.000394
                     75,                0.88144,                0.59964,                 1.1553,                0.87109,                0.76702,                0.86325,                0.58004,                  1.196,                0.75521,                 1.2799,               0.000372,               0.000372,               0.000372
                     76,                0.81702,                0.56673,                 1.1305,                0.87303,                 0.7527,                0.86015,                0.58546,                 1.1916,                0.76319,                 1.2844,                0.00035,                0.00035,                0.00035
                     77,                0.86066,                0.58428,                 1.1513,                0.85583,                0.78614,                0.86006,                0.58722,                 1.1863,                 0.7493,                 1.2714,               0.000328,               0.000328,               0.000328
                     78,                0.84249,                0.56307,                 1.1338,                0.86444,                0.76691,                 0.8529,                0.57998,                 1.2022,                0.77487,                  1.279,               0.000306,               0.000306,               0.000306
                     79,                0.81303,                0.55533,                 1.1252,                 0.8399,                0.80109,                0.86817,                0.58796,                 1.1799,                0.75701,                 1.2753,               0.000284,               0.000284,               0.000284
                     80,                0.83097,                0.57303,                 1.1291,                0.84726,                    0.8,                0.87405,                0.59261,                 1.1755,                0.73229,                  1.277,               0.000262,               0.000262,               0.000262
                     81,                0.83211,                0.57662,                 1.1252,                0.87541,                0.75963,                0.85411,                0.58074,                 1.1958,                0.78047,                 1.2899,                0.00024,                0.00024,                0.00024
                     82,                0.81852,                 0.5499,                 1.1129,                 0.8706,                0.77703,                0.87011,                0.58309,                 1.1897,                0.73591,                 1.3018,               0.000218,               0.000218,               0.000218
                     83,                0.81077,                0.52192,                 1.1022,                0.84511,                0.79054,                0.86791,                0.58618,                 1.1866,                0.73796,                 1.2961,               0.000196,               0.000196,               0.000196
                     84,                 0.7945,                0.50755,                    1.1,                0.84827,                0.78573,                 0.8671,                0.58796,                 1.1856,                0.73643,                 1.2936,               0.000174,               0.000174,               0.000174
                     85,                0.78389,                0.51598,                 1.1069,                0.82942,                 0.8027,                0.86864,                0.58648,                 1.1815,                0.74384,                 1.2872,               0.000152,               0.000152,               0.000152
                     86,                0.77786,                0.50396,                  1.094,                0.86347,                0.78919,                0.86486,                0.58721,                 1.1816,                0.73577,                 1.2827,                0.00013,                0.00013,                0.00013
                     87,                0.77586,                0.50078,                  1.098,                0.87928,                0.75792,                0.86267,                0.58853,                 1.1822,                 0.7297,                 1.2829,               0.000108,               0.000108,               0.000108
                     88,                0.78799,                0.49531,                 1.0959,                0.86422,                0.77409,                0.86486,                0.58708,                 1.1832,                0.72733,                 1.2837,                8.6e-05,                8.6e-05,                8.6e-05
                     89,                0.78672,                0.49822,                 1.0916,                0.83896,                    0.8,                0.86817,                0.58908,                 1.1782,                0.72633,                 1.2822,                6.4e-05,                6.4e-05,                6.4e-05
                     90,                0.77083,                 0.4885,                 1.0856,                0.83746,                0.80067,                0.86594,                0.58988,                 1.1814,                0.72965,                 1.2828,                4.2e-05,                4.2e-05,                4.2e-05
